String,Token Index
4739,0
85229,1
64820,2
8509,3
6487,4
6399,5
drg_1115171,6
775,7
80459,8
45,9
34581,10
153,11
drg_1718701,12
76622,13
67800,14
670,15
6923,16
67030,17
64803,18
76517,19
80410,20
67660,21
64381,22
drg_1351705,23
drg_964261,24
6479,25
64391,26
76404,27
100,28
76413,29
6700,30
80159,31
7726,32
66943,33
drg_46275916,34
16,35
24940,36
67603,37
64722,38
74,39
59080,40
80059,41
67903,42
drg_19023398,43
67200,44
73309,45
76423,46
67480,47
34671,48
66944,49
25082,50
76412,51
6748,52
2859,53
25040,54
64940,55
66942,56
V8901,57
66550,58
7642,59
7799,60
67144,61
76506,62
6481,63
66803,64
10,65
6391,66
64,67
76,68
7140,69
3829,70
V8905,71
67640,72
1539,73
55,74
2858,75
49390,76
64894,77
2748,78
67694,79
6528,80
76504,81
drg_40243436,82
6462,83
850,84
64784,85
67810,86
25080,87
67010,88
V2385,89
67101,90
drg_19007333,91
2,92
80429,93
25010,94
6781,95
30981,96
805,97
67123,98
65813,99
34590,100
8450,101
38,102
810,103
67490,104
65973,105
67333,106
64922,107
66880,108
76498,109
8360,110
80006,111
64930,112
67510,113
85409,114
14,115
87,116
67504,117
64601,118
drg_19115351,119
drg_40213296,120
4939,121
67580,122
5852,123
65933,124
49120,125
64624,126
64790,127
58,128
6331,129
5853,130
66313,131
64760,132
77,133
85309,134
76490,135
76424,136
6607,137
5,138
Asian,139
6741,140
22,141
25092,142
drg_40223768,143
6474,144
76415,145
67901,146
4738,147
67691,148
67312,149
67803,150
76513,151
67600,152
4938,153
64231,154
56,155
65511,156
76516,157
drg_40213154,158
drg_19081453,159
64600,160
80419,161
85189,162
595,163
76501,164
54,165
62,166
67514,167
76493,168
67521,169
67690,170
6720,171
drg_19133905,172
33829,173
76410,174
drg_19059056,175
64393,176
61,177
64623,178
64714,179
5958,180
80329,181
76420,182
67650,183
76491,184
33,185
84509,186
6791,187
493,188
6680,189
66824,190
67520,191
678,192
drg_19075001,193
6472,194
6708,195
67683,196
64750,197
67813,198
80359,199
drg_40213314,200
65571,201
98,202
20,203
64744,204
49320,205
76497,206
30551,207
6733,208
285,209
76429,210
8041,211
18,212
34591,213
drg_40229134,214
646,215
64824,216
64253,217
48,218
28,219
63310,220
71,221
9491,222
67153,223
67151,224
6918,225
84209,226
6478,227
66331,228
drg_19127922,229
6750,230
40,231
80439,232
drg_1310034,233
drg_19019273,234
39,235
64763,236
V2384,237
824,238
drg_19077344,239
drg_19078924,240
53,241
52,242
57461,243
6439,244
78,245
75,246
2724,247
64603,248
6494,249
V2383,250
66812,251
76416,252
6740,253
6393,254
25090,255
2504,256
67641,257
76402,258
27489,259
7606,260
67811,261
67513,262
8500,263
67902,264
67614,265
66820,266
65523,267
66813,268
64884,269
11,270
6749,271
drg_40231925,272
64822,273
67500,274
7649,275
6762,276
76505,277
67112,278
66811,279
19,280
66804,281
67914,282
White,283
30,284
drg_40166274,285
66133,286
8420,287
9492,288
67583,289
46,290
41,291
639,292
67692,293
67004,294
66802,295
6390,296
drg_19129655,297
7330,298
71596,299
6424,300
7142,301
64660,302
64943,303
842,304
64723,305
66310,306
67330,307
668,308
6701,309
647,310
7722,311
80309,312
67154,313
76428,314
64724,315
80379,316
65223,317
81,318
66801,319
66823,320
80499,321
274,322
778,323
drg_19075601,324
64892,325
7771,326
66070,327
80109,328
34,329
6758,330
43,331
66940,332
84500,333
70,334
6395,335
64622,336
72,337
67120,338
67334,339
6688,340
drg_1127078,341
85249,342
67610,343
V22,344
64241,345
76510,346
80449,347
drg_19074843,348
4275,349
