String,Token Index
64713,350
67080,351
drg_40171902,352
65491,353
64263,354
65470,355
drg_19079524,356
7603,357
65490,358
8504,359
65513,360
67644,361
64871,362
2749,363
64000,364
64734,365
V220,366
8505,367
30553,368
24941,369
65930,370
76508,371
66884,372
67121,373
drg_1154615,374
drg_19016749,375
66130,376
30552,377
8540,378
64880,379
76406,380
67904,381
82,382
76496,383
76422,384
drg_836659,385
7796,386
drg_1539464,387
76494,388
66,389
drg_1367571,390
6471,391
6712,392
8502,393
648,394
66814,395
drg_19018935,396
65971,397
84200,398
679,399
66810,400
6394,401
76495,402
67,403
26,404
73300,405
30550,406
64944,407
64320,408
76518,409
2777,410
76515,411
67100,412
76411,413
drg_40163554,414
6489,415
7709,416
86,417
drg_40213180,418
37,419
6492,420
6426,421
3055,422
67900,423
29,424
drg_19019308,425
66333,426
V239,427
66554,428
674,429
76502,430
49,431
67150,432
76492,433
65520,434
23,435
76401,436
7792,437
6780,438
73,439
7601,440
drg_19078461,441
6392,442
6759,443
67501,444
drg_19073188,445
drg_1539411,446
6396,447
66520,448
65220,449
4928,450
32,451
2494,452
drg_40213198,453
7724,454
64321,455
102,456
drg_40213201,457
drg_19074841,458
drg_19133873,459
76503,460
6630,461
Black or African American,462
69,463
64240,464
71514,465
77210,466
65970,467
drg_19081456,468
5750,469
76403,470
541,471
67912,472
drg_19006318,473
13,474
drg_35604087,475
65810,476
41407,477
31,478
80460,479
59,480
76512,481
V2389,482
6549,483
67604,484
7788,485
6398,486
67104,487
76511,488
3458,489
66360,490
84,491
66822,492
76405,493
6715,494
64621,495
64710,496
663,497
80009,498
drg_40236824,499
57460,500
4,501
80369,502
6703,503
66894,504
67314,505
67601,506
64242,507
64800,508
7602,509
71516,510
6480,511
83,512
6475,513
drg_46275444,514
6710,515
66574,516
67613,517
6682,518
51,519
64794,520
64870,521
6681,522
V221,523
77214,524
64810,525
67103,526
drg_46233710,527
drg_40220960,528
17,529
67624,530
drg_1332419,531
7,532
44,533
66881,534
66883,535
6593,536
6689,537
76519,538
6636,539
67680,540
76408,541
67593,542
42731,543
88,544
66800,545
63,546
64761,547
67122,548
57,549
67623,550
1,551
6652,552
drg_19133679,553
76499,554
67114,555
649,556
67682,557
6597,558
80479,559
3459,560
64380,561
65573,562
64260,563
drg_40162522,564
67801,565
drg_19074679,566
67590,567
6473,568
6769,569
67654,570
64872,571
25,572
67332,573
64762,574
drg_19019979,575
drg_19009384,576
drg_1718758,577
drg_782047,578
4912,579
27,580
67911,581
6522,582
97,583
67102,584
V233,585
21,586
64243,587
66882,588
drg_40220386,589
7725,590
64764,591
6482,592
65570,593
6547,594
64920,595
5959,596
492,597
64890,598
64882,599
V2381,600
65493,601
76514,602
64001,603
85400,604
90,605
67152,606
76414,607
76417,608
7789,609
64721,610
8361,611
67113,612
6631,613
104,614
4660,615
drg_40173590,616
6633,617
drg_35605858,618
5851,619
64924,620
80179,621
76421,622
7662,623
64813,624
25042,625
64874,626
64620,627
79,628
67111,629
60,630
34580,631
68,632
67693,633
76426,634
64390,635
76409,636
64244,637
66893,638
67420,639
67684,640
drg_40169216,641
15,642
80489,643
67403,644
6493,645
66300,646
FEMALE,647
67410,648
6924,649
65,650
64921,651
66330,652
66821,653
V2382,654
12,655
6790,656
0340,657
99,658
7600,659
6557,660
drg_19126352,661
67523,662
67002,663
675,664
672,665
drg_40169222,666
drg_35606289,667
6742,668
64891,669
94,670
9,671
66941,672
85,673
drg_40213306,674
542,675
89,676
64780,677
7640,678
76425,679
345,680
50,681
76507,682
67913,683
8503,684
65931,685
3382,686
64740,687
76407,688
67643,689
drg_19073183,690
7641,691
drg_42707627,692
36,693
3,694
6764,695
V8903,696
7605,697
67681,698
6655,699
382,700
66891,701
47,702
7604,703
76419,704
drg_920300,705
66551,706
92,707
80469,708
6,709
66892,710
drg_40165015,711
drg_35605482,712
67620,713
V8904,714
drg_40213227,715
drg_19077572,716
76427,717
76400,718
drg_40213260,719
64733,720
66890,721
drg_19078219,722
93,723
85169,724
8,725
7759,726
80,727
76418,728
67503,729
64730,730
67653,731
8046,732
6694,733
MALE,734
drg_40163924,735
3310,736
6476,737
8362,738
67142,739
2334,740
473,741
59589,742
V238,743
24,744
drg_46233988,745
6768,746
67400,747
6552,748
35,749
42,750
41401,751
67000,752
drg_1127433,753
691,754
64383,755
64881,756
64720,757
64003,758
